                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3164,                 1.9263,                 1.4625,                0.68795,                0.94201,                0.72412,                0.53381,                 1.0095,                0.95716,                 1.3871,             0.00029841,             0.00029841,             0.00029841
                      2,                0.99366,                 0.8464,                 1.2268,                0.62421,                0.94314,                0.70055,                0.50354,                 1.0585,                0.89884,                 1.4062,             0.00059546,             0.00059546,             0.00059546
                      3,                0.98367,                0.80239,                 1.2305,                0.69102,                0.96424,                0.75511,                0.54789,                 1.0398,                0.80635,                 1.4177,              0.0008865,              0.0008865,              0.0008865
                      4,                0.93624,                0.76384,                 1.2051,                0.68406,                0.95674,                0.70812,                0.53222,                0.98548,                0.77174,                 1.3576,               0.000882,               0.000882,               0.000882
                      5,                0.93841,                0.74687,                 1.1918,                0.68598,                0.96729,                 0.7478,                 0.5763,                0.91629,                0.71429,                 1.2783,               0.000882,               0.000882,               0.000882
                      6,                0.93046,                0.72019,                 1.2003,                0.70277,                0.96259,                0.74041,                0.55757,                0.93132,                0.69988,                 1.2987,               0.000873,               0.000873,               0.000873
                      7,                  0.908,                0.70948,                 1.1806,                0.69789,                0.97192,                0.72682,                0.55858,                 0.9344,                0.70812,                 1.2897,               0.000864,               0.000864,               0.000864
                      8,                0.87325,                0.70204,                 1.1639,                0.70206,                0.98009,                0.71561,                0.56264,                 0.8921,                0.69441,                 1.2618,             0.00085501,             0.00085501,             0.00085501
                      9,                0.88064,                0.70069,                 1.1667,                0.70722,                0.96706,                0.76252,                0.58479,                0.92707,                0.67525,                 1.3024,             0.00084601,             0.00084601,             0.00084601
                     10,                0.86907,                0.68857,                 1.1588,                0.70277,                0.96879,                0.75319,                0.57852,                0.94644,                0.69986,                  1.299,             0.00083701,             0.00083701,             0.00083701
                     11,                0.87677,                0.69098,                 1.1512,                0.70454,                0.97062,                0.73067,                0.56237,                0.93034,                 0.6851,                 1.3269,             0.00082801,             0.00082801,             0.00082801
                     12,                0.84551,                0.67232,                 1.1307,                0.74773,                0.91096,                0.85183,                0.64818,                  0.925,                0.65151,                 1.2918,             0.00081901,             0.00081901,             0.00081901
                     13,                0.83877,                0.66486,                 1.1286,                0.70296,                0.97326,                0.77752,                0.60595,                0.88905,                0.64871,                 1.2768,             0.00081001,             0.00081001,             0.00081001
                     14,                0.82922,                 0.6578,                 1.1223,                0.70029,                0.97357,                0.76043,                0.58991,                0.88739,                0.66001,                 1.2659,             0.00080101,             0.00080101,             0.00080101
                     15,                0.81807,                0.65766,                 1.1125,                0.70317,                0.96485,                0.74107,                0.58004,                0.89303,                0.66744,                 1.2652,             0.00079201,             0.00079201,             0.00079201
                     16,                0.82129,                0.64622,                  1.124,                0.70473,                 0.9771,                 0.7351,                0.58049,                0.88811,                 0.6677,                 1.2647,             0.00078301,             0.00078301,             0.00078301
                     17,                0.79624,                0.63857,                 1.1041,                0.70383,                0.97678,                0.76716,                0.60147,                0.87609,                0.65185,                 1.2654,             0.00077401,             0.00077401,             0.00077401
